"key", "en", "ru", "ch", "de", "fr", ""
"play", "Play!", "Играть!", "玩!", "Spielen", "Jouez", ""
"guest", "Guest", "Гость", "来宾", "Gast", "Client", ""
"login", "Login", "Вход", "登入", "Login", "S'identifier", ""
"signup", "Sign up", "Регистрация", "报名", "Registrierung", "Sinscrire", ""
"back", "Back", "Назад", "回去", "zurück", "Retour", ""
"login_msg", "You are logged in as: ", "Вы вошли как: ", "您的帐号: ", "Sie sind angemeldet als", "vous êtes connecté en tant que", ""
"remember_me", "Remember me", "Запомнить меня", "记住我", "Erinnere dich an mich", "Erinnere dich an mich", ""
"signupwarning", "If you forget the username you wont be able to restore an account!", "Без логина восстановление аккаунта будет невозможно!", "如果不登录，将无法恢复帐户!", "Wenn Sie den Benutzernamen vergessen, können Sie kein Konto wiederherstellen!", "Si vous oubliez le nom d'utilisateur, vous ne pourrez pas restaurer un compte!", ""
"decline", "Decline", "Продолжить", "继续", "Ablehnen", "Décliner", ""
"accept", "Accept", "Вернуться", "回去", "Akzeptiere", "Accepter", ""
"email_error", "Invalid email!", "Неверный e-mail", "无效的电子邮件", "Ungültige E-Mail!", "Courriel invalide!", ""
"username_error", "Username should contain more than 4 symbols: a-z or A-Z or numbers", "Логин должен содержать более 4 символов: a-z или A-Z или цифры", "登录名必须包含4个以上的字符：a-z或A-Z或数字", "Der Benutzername sollte mehr als 4 Symbole enthalten: a-z oder A-Z oder Zahlen", "Le nom d'utilisateur doit contenir plus de 4 symboles: a-z ou A-Z ou des nombres", ""
"displayname_error", "Displayname should contain more than 4 symbols: a-z or A-Z or numbers", "Игровое имя должно содержать более 4 символов: a-z или A-Z или цифры", "游戏名称必须包含超过4个字符：a-z或A-Z或数字", "Der Anzeigename sollte mehr als 4 Symbole enthalten: a-z oder A-Z oder Zahlen", "Le nom d'affichage doit contenir plus de 4 symboles: a-z ou A-Z ou des nombres", ""
"password_error", "Password should be at least 8 letters or numbers", "Пароль должен быть длинной по крайней мере 8 символов (букв или цифр)", "密码长度至少为8个字符（字母或数字）", "Das Passwort sollte aus mindestens 8 Buchstaben oder Zahlen bestehen", "Le mot de passe doit être composé d'au moins 8 lettres ou chiffres", ""
"signup_error", "Username is busy or a Network error has occured", "Имя пользователя занято или ошибка сервера", "用户名忙或服务器错误", "Benutzername ist besetzt oder ein Netzwerkfehler ist aufgetreten", "Le nom d'utilisateur est occupé ou une erreur de serveur", ""
"guest_warning", "If you dont sign up your game data will not be saved after you quit!", "Без регистрации, ваш игровой прогресс не будет сохранен", "未经注册，您的游戏进度将不会保存", "Wenn Sie sich nicht anmelden, werden Ihre Spieldaten nach dem Beenden nicht gespeichert!", "Si vous ne vous inscrivez pas, vos données de jeu ne seront pas enregistrées une fois que vous aurez quitté", ""
"please_wait", "Please wait...", "Пожалуйста подождите...", "请稍候...", "Bitte warten ...", "Veuillez patienter ...", ""
"victory", "Victory!", "Победа!", "胜利了！", "Sieg!", "Victoire!", ""
"defeat", "Defeat!", "Поражение!", "打败", "Niederlage!", "Vaincre!", ""
"exp", "Expirience", "Опыт", "体会", "Erfahrung", "L'expérience", ""
"rating", "Rating", "Рейтинг", "等级", "Bewertung", "Évaluation", ""
"bread", "Bread", "Хлеб", "面包", "Brot", "Du pain", ""
"main_menu", "Main menu", "Главное меню", "主菜单", "Hauptmenü", "Menu principal", ""
"sleep", "Sleep", "Сон", "睡吧", "Schlaf", "Dormir", ""
"light", "Light", "Слабый", "弱", "Schwach", "Lumière", ""
"medium", "Medium", "Средний", "中号", "Mittel", "Moyen", ""
"heavy", "Heavy", "Сильный", "强壮的", "Stark", "Lourd", ""
"berserk", "Berserker multiplyer", "Множитель берсерка", "狂暴乘数", "Berserker Multiplikator", "Multiplicateur Berserker", ""
"base_damage", "Base damage", "Базовый урон", "基础伤害", "Grundschaden", "Dommages à la base", ""
"exit", "Exit", "Выйти", "外出", "Geh raus", "Quitter", ""
"leave", "Leave", "Выйти", "外出", "Geh raus", "Quitter", ""
"cancel", "Cancel", "Отмена", "取消", "Abbrechen", "Annuler", ""
"searching", "Searching for players", "Поиск игроков", "寻找球员", "Spielersuche", "Recherche de joueurs", ""
"playingnow", "Playing now", "Сейчас играют", "现在玩", "Jetzt spielen", "Jouer maintenant", ""
"block_chance", "Block chance", "Шанс блока", "阻止机会", "Chance blockieren", "Bloquer la chance", ""
"damage_reduction", "Damage rdct", "Снижение урона", "减少伤害", "Schadensreduzierung", "Dommage rdct", ""
"regen_effects", "Regeneration effects", "Эффекты лечения", "再生效果", "Regenerationseffekte", "Effets de régénération", ""
"block_pierce", "Block pierce", "Урон через блок", "格挡伤害", "Schaden durch Block", "Percer le bloc", ""
"total_hp", "Total HP", "Здоровье", "健康要点", "Gesundheit", "La santé", ""
"stamina_melee_reduction", "Stamina melee rdct", "Расх. вын. на удары", "耐力近战减少", "Ausdauer Nahkampf rdct", "Réduction de l'endurance en mêlée", ""
"stamina_use_reduction", "Stamina use rdct", "Расх. вын. общ.", "减少体力消耗", "Reduzierung des Ausdauerverbrauchs", "Réduction de la consommation d'endurance", ""
"total_stamina", "Stamina", "Выносливость", "体力", "Ausdauer", "Endurance", ""
"block_stam", "Block stamina", "Вын. на блок", "耐力块", "Block stamina", "Bloquer l'endurance", ""
"magic_stam", "Magic stamina", "Маг. вын.", "魔力耐力", "Magische Ausdauer", "Endurance magique", ""
"move_dist", "Move dist.", "Передвижение", "移动距离", "Bewegung", "Déplacer dist.", ""
"light_dist", "Light dist.", "Расстояние лёгк.", "灯光距离", "Lichtabstand", "Distance de lumière", ""
"medium_dist", "Medium dist.", "Расстояние средн.", "中距离", "mittlere Entfernung", "distance moyenne", ""
"heavy_dist", "Heavy dist.", "Расстояние сильн.", "重的距离", "Schwere Distanz", "Distance difficile", ""
"stam_sleep", "Stamina for sleep", "Вын. за сон", "耐力睡眠", "Ausdauer zum Schlafen", "Persévérance pour dormir", ""
"stam_regen", "Stamina per turn", "Вын. за ход", "每转耐力", "Ausdauer pro Runde", "Endurance par tour", ""
"magic", "Magic", "Магия", "魔力", "Magie", "La magie", ""
"magic_dmg", "Magic damage", "Урон магии", "魔法伤害", "Magischer Schaden", "Dégâts magiques", ""
"magic_debuff_chance", "Magic debuff chance", "Маг. дебафф", "魔法减益机会", "Magische Debuff-Chance", "Chance de debuff magique", ""
"magic_debuff_duration", "Debuff time", "Длительность дебафа", "减益时间", "Debuff-Zeit", "Durée de debuff", ""
"hp_sleep", "HP per sleep", "Здоровье за сон", "睡眠健康", "Gesundheit pro Schlaf", "Santé par sommeil", ""
"hp_regen", "HP per turn", "Здоровье за ход", "每转生命", "Gesundheit pro Runde", "Santé par tour", ""
"attack", "Attack", "Атака", "攻击力", "Attacke", "Attaque", ""
"agility", "Agility", "Ловкость", "敏捷度", "Beweglichkeit", "Agilité", ""
"power", "Power", "Мощь", "威力", "Leistung", "Puissance", ""
"strength", "Strength", "Сила", "强项", "Stärke", "Force", ""
"endurance", "Endurance", "Выносливость", "耐力", "Ausdauer", "Endurance", ""
"speed", "Speed", "Скорость", "速度", "Geschwindigkeit", "La vitesse", ""
"sleep", "Sleep", "Сон", "睡吧", "Schlaf", "Dormir", ""
"regen", "Regen", "Реген.", "雷根", "Regen", "La pluie", ""
"crit_chance", "Total crit chance", "Шанс крит. урона", "暴击机率", "kritische Chance", "chance de dégâts critiques", ""
"bash_chance", "Total bash chance", "Шанс оглушения", "眩晕机会", "Bash Chance", "bash chance", ""
"stun_chance", "Total stun chance", "Шанс оцепенения", "麻木机会", "Chance betäuben", "chance d'étourdissement", ""
"miss_chance", "Total dodge chance", "Шанс уворота", "错过机会", "Chance ausweichen", "esquiver la chance", ""
"level", "Level", "Уровень", "等级", "Niveau", "Niveau", ""
"shop", "Shop", "Магазин", "铺", "Geschäft", "Boutique", ""
"inventory", "Inventory", "Инвентарь", "存货", "Inventar", "Inventaire", ""
"leaderboards", "Leaderboards", "Таблица лидеров", "排行榜", "Bestenlisten", "Classements", ""
"play", "Play", "Играть", "玩", "Spielen", "Jouer", ""
"my_gladiator", "My Gladiator", "Мой гладиатор", "我的角斗士", "Mein Gladiator", "Mon gladiateur", ""
"close", "Close", "Закрыть", "关门", "Schließen", "Fermer", ""
"equip", "Equip", "Надеть", "穿上", "Ausrüsten", "Mettez", ""
"unequip", "Unequip", "Снять", "起飞", "Unausrüsten", "Décoller", ""
"unequip_all", "Unequip all", "Снять всё", "全部取消装备", "Alle ausrüsten", "Tout équiper", ""
"rank", "Rank", "Место", "等级", "Rang", "Rang", ""
"name", "Name", "Имя", "名称", "Name", "Nom", ""
"single_player", "Single Player", "Одиночная игра", "单人游戏", "Einzelspieler", "Un joueur", ""
"multi_player", "Online Game", "Игра в сети", "网络游戏", "Online-Spiel", "Jeu en ligne", ""
"next_legend", "Next Legend", "Следующая легенда", "下一个传奇", "Nächste Legende", "Légende suivante", ""
"rand_fight", "Random fight", "Случайный противник", "随机战斗", "Zufälliger Kampf", "Combat aléatoire", ""
"arena_legends", "Arena Legends", "Легенды арены", "竞技场传说", "Arena-Legenden", "Arena Legends", ""
"legends_complete", "Legends complete", "Легенд побеждено", "传奇完成", "Legenden abgeschlossen", "Légendes complètes", ""
"legend_fight", "LEGEND FIGHT!", "БОЙ С ЛЕГЕНДОЙ", "传奇战斗", "Legendenkampf", "LÉGENDE COMBAT", ""
"fight", "FIGHT", "В БОЙ", "战斗", "KÄMPFEN", "EN BATAILLE", ""
"damage", "Damage", "Урон", "破损", "Schaden", "Dommages", ""
"just_stun", "Stun", "Оцепенение", "麻木", "Betäuben", "Stupéfait", ""
"just_crit", "Crit", "Крит. урон", "严重伤害", "Kritischer", "Plus critique", ""
"just_bash", "Bash", "Оглушение", "惊呆", "Bash", "Frapper", ""
"just_miss", "Dodge", "Промах", "道奇", "Ausweichen", "Esquive", ""
"special_attack_chances", "Special attacks chances", "Вероятности спец. атак", "特殊攻击机会", "Besondere Angriffschancen", "Les chances d'attaques spéciales", ""
"skill_points", "Skill Points", "Очки умений", "技能点", "Fähigkeitspunkte", "Points de compétences", ""
"save", "Save", "Сохранить", "保存到", "Speichern", "sauver", ""
"reset", "Reset", "Сброс", "重设", "Reset", "Réinitialiser", ""
"specials", "Specials", "Улучшения", "增强功能", "Specials", "Spéciaux", ""
"tier", "Tier", "Мастерство", "精通", "Meisterschaft", "Maîtrise", ""
"tier1", "Tier1:", "Мастерство1:", "精通1", "Meisterschaft1", "Maîtrise1", ""
"tier2", "Tier2:", "Мастерство2:", "精通2", "Meisterschaft2", "Maîtrise2", ""
"tier3", "Tier3:", "Мастерство3:", "精通3", "Meisterschaft3", "Maîtrise3", ""
"tier4", "Tier4:", "Мастерство4:", "精通4", "Meisterschaft4", "Maîtrise4", ""
"tier5", "Tier5:", "Мастерство5:", "精通5", "Meisterschaft5", "Maîtrise5", ""
"edit_stats", "Edit Stats", "Улучш.", "升级版", "Upgrade", "Améliorer", ""
"attack1", " Damage", " к урону ", "破损", "Schaden", "Dommage", ""
"attack2", " % To Damage to each Light attack ", " % к урону лёгких атак ", "% 破坏每次光击", "% leichter Angriffsschaden", "% To Damage à chaque attaque légère", ""
"attack3", " % To Damage to each Medium attack", " % к урону средних атак ", "% 破坏每次中等攻击", "% Schaden bei mittleren Angriffen", "% To Damage à chaque attaque moyenne", ""
"attack4", " % To Damage to each Heavy attack ", " % к урону сильных атак ", "% 破坏每次重击", "% Schaden bei starken Angriffen", "% To Damage à chaque attaque lourde", ""
